,Farm0001,Farm0002,Farm0003,Farm0004,Farm0005,Farm0006,Farm0007,Farm0008,Farm0009,Farm0010,Farm0011,Farm0012,Farm0013,Farm0014,Farm0015,Farm0016,Farm0017,Farm0018,Farm0019,Farm0020,Farm0021,Farm0022,Farm0023,Farm0024,Farm0025,Farm0026,Farm0027,Farm0028,Farm0029,Farm0030,Farm0031,Farm0032,Farm0033,Farm0034,Farm0035,Farm0036,Farm0037,Farm0038,Farm0039,Farm0040,Farm0041,Farm0042,Farm0043,Farm0044,Farm0045,Farm0046,Farm0047,Farm0048,Farm0049,Farm0050,Farm0051,Farm0052,Farm0053,Farm0054,Farm0055,Farm0056,Farm0057,Farm0058,Farm0059,Farm0060,Farm0061,Farm0062,Farm0063,Farm0064,Farm0065,Farm0066,Farm0067,Farm0068,Farm0069,Farm0070,Farm0071,Farm0072,Farm0073,Farm0074,Farm0075,Farm0076,Farm0077,Farm0078,Farm0079,Farm0080,Farm0081,Farm0082,Farm0083,Farm0084,Farm0085,Farm0086,Farm0087,Farm0088,Farm0089,Farm0090,Farm0091,Farm0092,Farm0093,Farm0094,Farm0095,Farm0096,Farm0097,Farm0098,Farm0099,Farm0100,Farm0101,Farm0102,Farm0103,Farm0104,Farm0105,Farm0106,Farm0107,Farm0108,Farm0109,Farm0110,Farm0111,Farm0112,Farm0113,Farm0114,Farm0115,Farm0116,Farm0117,Farm0118,Farm0119,Farm0120,Farm0121,Farm0122,Farm0123,Farm0124,Farm0125,Farm0126,Farm0127,Farm0128,Farm0129,Farm0130,Farm0131,Farm0132,Farm0133,Farm0134,Farm0135,Farm0136,Farm0137,Farm0138,Farm0139,Farm0140,Farm0141,Farm0142,Farm0143,Farm0144,Farm0145,Farm0146,Farm0147,Farm0148,Farm0149,Farm0150,Farm0151,Farm0152,Farm0153,Farm0154,Farm0155,Farm0156,Farm0157,Farm0158,Farm0159,Farm0160,Farm0161,Farm0162,Farm0163,Farm0164,Farm0165,Farm0166,Farm0167,Farm0168,Farm0169,Farm0170,Farm0171,Farm0172,Farm0173,Farm0174,Farm0175,Farm0176,Farm0177,Farm0178,Farm0179,Farm0180,Farm0181,Farm0182,Farm0183,Farm0184,Farm0185,Farm0186,Farm0187,Farm0188,Farm0189,Farm0190,Farm0191,Farm0192,Farm0193,Farm0194,Farm0195,Farm0196,Farm0197,Farm0198,Farm0199,Farm0200,Farm0201,Farm0202,Farm0203,Farm0204,Farm0205,Farm0206,Farm0207,Farm0208,Farm0209,Farm0210,Farm0211,Farm0212,Farm0213,Farm0214
Farm0056,12,12,18,14,18,2,18,21,18,18,14,16,4,19,18,1,20,5,18,17,18,17,20,16,2,18,14,6,2,8,2,18,2,4,5,6,6,18,4,2,19,22,16,16,18,18,2,15,14,2,4,17,16,14,9,,6,21,20,6,19,8,22,8,6,25,0,4,16,4,4,18,24,25,18,6,4,4,6,18,25,18,3,4,5,6,22,6,16,17,21,22,24,4,23,6,22,25,8,3,22,4,2,8,15,4,20,30,22,22,24,22,6,8,8,7,6,8,4,28,6,22,9,6,30,6,6,6,21,26,20,29,22,23,22,6,27,5,9,5,26,25,24,29,26,22,5,5,7,24,25,22,12,12,130,8,26,6,12,10,24,26,22,25,8,23,7,6,6,23,6,7,8,7,24,24,28,8,6,29,20,10,9,22,32,22,28,14,10,8,24,28,25,28,6,8,25,8,8,12,30,34,18,14,20,9,22,24,16,14,9,32,32,18
Farm0057,14,14,20,16,20,4,20,22,20,20,16,18,3,22,19,4,22,8,19,18,20,20,22,19,6,19,16,8,6,9,6,20,6,2,8,8,9,20,9,6,20,24,18,18,20,21,6,17,16,6,8,18,18,16,10,6,,22,22,1,20,8,23,10,3,26,4,6,19,8,8,20,26,26,20,5,8,1,2,20,26,22,6,8,10,12,22,10,17,18,24,25,26,6,25,9,23,26,13,6,24,8,8,10,16,8,22,32,24,24,28,24,7,10,12,11,10,13,8,29,10,24,12,8,33,10,10,10,23,28,24,30,22,25,23,11,29,10,14,8,29,28,28,30,30,24,9,10,12,26,28,24,16,16,136,10,28,10,15,15,26,29,25,26,13,26,12,10,10,25,8,12,12,10,26,26,28,10,11,30,22,15,12,24,33,24,31,17,13,12,26,32,28,30,12,12,26,10,12,14,32,36,22,16,24,14,24,26,20,18,12,36,36,22
Farm0058,10,8,15,12,16,18,15,18,16,15,10,13,20,16,14,20,17,22,14,5,15,14,17,13,21,14,12,21,21,24,20,14,22,21,24,22,24,15,24,22,14,19,15,14,16,14,21,14,13,22,23,10,14,12,26,21,22,,18,22,17,26,18,26,24,22,19,20,15,23,26,17,22,21,16,22,22,22,24,14,22,16,22,23,26,26,17,26,12,13,0,20,20,24,22,23,20,21,28,22,18,24,22,26,14,24,20,28,22,1,3,19,23,25,27,26,25,28,22,24,24,20,28,25,28,24,26,24,0,6,1,8,21,20,20,26,24,25,29,24,24,5,21,26,25,20,24,24,27,22,24,18,32,32,150,26,22,26,30,29,3,6,20,22,26,4,26,26,24,2,25,24,26,26,23,20,23,25,27,26,20,30,28,18,29,19,24,33,28,24,22,26,22,7,25,27,22,26,26,30,26,30,36,33,38,26,20,21,35,32,26,32,31,37
Farm0059,7,8,11,9,14,18,14,16,11,14,8,11,20,15,2,19,17,20,14,14,14,13,16,10,20,10,12,23,19,24,20,12,19,20,20,22,23,14,22,20,14,6,14,12,13,16,22,11,12,20,22,14,12,12,24,20,22,18,,22,15,25,18,24,22,8,20,20,14,21,24,16,20,8,14,22,20,20,22,13,21,15,21,22,24,25,4,24,14,12,18,18,18,20,18,22,20,9,27,20,17,22,20,24,12,22,18,26,20,19,20,19,21,25,26,25,24,28,21,22,24,19,26,24,26,23,24,24,16,22,18,24,20,7,18,24,11,24,27,22,22,22,22,25,23,18,22,22,26,21,24,18,30,30,148,25,10,24,30,28,20,22,20,22,28,20,24,24,24,20,24,23,26,26,23,22,12,24,25,26,20,28,27,17,28,18,12,32,27,24,20,26,22,24,25,26,20,26,26,29,13,30,36,31,38,24,18,20,34,31,27,30,30,36
Farm0060,14,14,20,16,20,2,18,24,19,19,14,16,2,20,18,3,22,6,20,18,19,19,21,17,6,18,14,6,5,8,6,18,4,1,8,7,8,20,8,6,19,23,18,16,18,22,5,14,15,4,8,17,16,16,10,6,1,22,22,,20,6,22,8,0,25,4,4,18,7,8,19,25,25,19,5,6,0,0,20,27,20,6,6,8,10,22,10,16,16,22,23,26,7,22,8,22,27,12,6,24,8,6,9,16,6,22,32,24,22,27,22,6,10,9,10,10,11,8,28,9,23,10,8,32,8,8,9,21,27,23,28,22,24,22,10,28,10,14,8,28,28,26,30,28,22,9,8,11,26,26,24,16,16,135,10,28,9,13,12,26,28,23,26,12,24,10,10,9,24,9,10,10,10,26,25,28,9,10,30,21,14,13,22,34,24,28,16,12,12,25,30,26,28,9,11,26,9,11,14,30,34,20,16,22,14,22,26,18,16,12,35,33,22
Farm0061,6,8,12,9,14,16,12,17,12,14,9,4,18,14,13,19,16,20,12,12,12,13,14,10,20,12,11,21,18,22,19,14,20,18,20,20,22,14,22,19,6,17,12,12,12,6,18,12,12,20,21,12,2,11,24,19,20,17,15,20,,23,8,22,22,20,18,19,12,20,22,15,12,18,5,20,20,20,21,4,19,5,20,21,23,24,16,22,12,2,15,17,20,19,17,23,18,20,26,20,9,22,20,23,12,20,18,18,18,18,20,9,19,24,24,24,23,26,19,22,22,9,25,22,26,20,23,22,16,20,16,24,18,16,17,24,22,22,26,22,22,20,20,24,14,17,22,22,25,12,22,9,29,29,146,24,20,22,28,27,19,22,20,20,26,19,24,22,24,17,23,22,25,24,20,20,22,24,24,24,18,28,26,10,27,8,22,30,26,22,12,26,13,23,24,26,20,23,25,29,24,30,34,30,36,24,18,19,34,32,24,29,28,35
Farm0062,16,16,22,19,22,6,22,26,22,22,18,20,6,24,22,8,24,8,22,22,22,23,24,21,8,22,18,10,9,14,7,21,8,6,9,10,11,23,10,8,23,26,20,18,22,24,8,16,18,8,10,21,20,18,12,8,8,26,25,6,23,,25,12,8,29,8,8,18,10,11,22,29,29,21,7,9,6,8,22,30,23,9,10,12,13,25,12,19,20,24,27,28,10,28,12,24,30,15,9,26,12,10,12,19,10,24,34,26,26,29,26,9,12,13,14,12,15,10,31,12,26,14,12,35,10,12,12,24,30,25,34,25,28,25,14,30,13,16,11,30,28,28,32,31,24,10,10,14,28,29,27,19,19,137,13,31,12,18,16,29,32,26,28,16,28,13,12,13,28,12,12,14,14,28,28,31,12,14,34,26,17,15,25,37,26,32,18,15,14,28,34,28,32,12,16,29,12,14,17,33,38,23,18,26,16,26,28,22,20,14,38,37,24
Farm0063,9,8,16,12,16,20,16,18,16,14,12,5,20,15,14,20,18,22,14,14,15,16,16,12,21,14,13,23,21,24,22,15,22,20,23,24,24,14,24,22,8,20,14,15,16,8,22,10,13,20,22,14,4,14,26,22,23,18,18,22,8,25,,26,24,22,21,20,14,22,24,17,14,20,7,22,21,22,24,7,21,8,23,22,24,26,18,24,14,4,18,19,22,22,20,24,20,22,29,22,12,23,22,26,15,24,21,18,22,20,22,12,22,24,26,26,26,27,22,25,26,10,27,24,28,23,26,24,17,23,18,25,19,20,20,26,24,25,28,24,24,22,22,26,16,20,23,24,26,12,25,10,31,31,148,26,24,26,30,30,22,24,20,22,28,21,27,24,25,20,24,24,28,26,22,22,25,26,26,26,20,30,29,10,30,11,24,32,28,26,12,27,14,26,26,27,22,27,27,30,26,30,36,32,38,26,20,20,36,32,27,31,30,38
Farm0064,16,15,22,19,20,7,22,25,22,22,18,20,6,22,22,7,24,2,22,21,22,22,23,20,8,22,14,4,8,6,8,22,8,7,10,4,5,22,10,8,22,26,20,18,22,22,8,17,18,8,10,21,20,18,6,8,10,26,24,8,22,12,26,,10,29,6,8,20,10,12,22,28,28,22,10,8,10,10,22,29,23,9,11,12,13,25,12,20,20,24,26,28,9,28,12,26,28,15,10,24,12,8,11,19,10,24,32,26,26,28,27,10,13,13,13,13,16,10,32,12,27,13,11,35,11,12,12,25,29,25,32,24,28,24,14,32,12,17,11,31,29,30,33,30,25,10,11,14,26,28,23,17,19,136,13,30,12,17,16,28,31,27,28,15,28,12,13,12,26,12,14,14,14,28,28,31,12,13,33,26,17,16,24,36,23,32,18,16,14,26,34,29,32,12,14,29,13,15,17,33,38,23,20,26,14,26,28,22,20,13,38,38,24
Farm0065,14,14,20,16,20,4,21,22,20,21,16,18,4,22,20,4,22,8,20,20,20,20,22,18,6,20,16,8,6,10,7,20,7,2,8,8,8,20,8,6,19,23,18,16,20,22,6,16,16,6,8,17,18,16,11,6,3,24,22,0,22,8,24,10,,28,4,6,18,8,9,20,28,26,20,4,8,2,2,22,26,22,7,9,10,10,22,10,18,18,22,23,26,6,24,10,22,28,13,8,24,10,8,10,16,8,23,32,25,24,26,24,7,12,12,10,10,13,8,28,9,24,12,8,34,10,10,10,22,29,23,32,22,24,22,11,30,10,15,8,30,26,26,31,30,22,8,9,12,26,28,24,15,16,134,10,28,10,14,14,26,29,24,28,12,26,12,11,10,24,10,10,12,12,26,26,28,10,11,31,24,14,12,24,34,24,30,16,12,12,27,30,28,30,10,12,28,11,12,14,31,35,20,18,25,16,24,24,20,18,12,36,36,22
Farm0066,14,14,17,15,18,24,18,22,18,19,12,16,24,20,7,24,21,26,18,17,19,19,22,16,25,16,18,28,25,28,25,18,26,24,26,27,28,18,26,26,20,12,19,18,20,20,25,18,17,25,28,17,18,17,30,25,26,22,8,25,20,29,22,29,28,,24,26,20,26,28,22,26,13,20,26,26,26,27,19,27,20,26,26,30,30,10,29,18,16,22,23,24,26,22,28,24,15,31,27,24,28,26,28,18,28,24,30,25,23,26,24,26,30,30,30,30,33,26,26,30,22,30,28,32,27,29,28,22,26,24,29,24,12,24,30,6,28,32,28,29,26,26,30,28,24,29,28,31,26,27,23,36,34,153,30,5,29,34,32,26,28,25,26,32,24,29,28,28,24,29,26,32,30,28,26,16,28,30,31,24,33,32,23,33,23,6,36,33,28,25,32,26,30,30,30,27,30,31,33,8,36,40,36,42,31,22,25,39,36,30,35,35,40
Farm0067,11,11,16,14,17,1,17,20,16,18,13,14,2,19,18,0,19,4,16,16,16,18,19,14,0,16,11,4,0,6,1,18,0,2,4,5,6,18,2,0,17,20,16,14,18,18,2,12,12,1,2,15,15,14,8,0,4,19,20,4,18,8,21,6,4,24,,4,15,4,4,18,24,22,16,4,2,3,6,18,24,20,2,3,5,6,20,5,13,15,20,21,24,2,22,4,19,24,7,2,20,6,2,5,15,2,20,28,22,22,24,22,3,6,6,5,5,8,3,26,6,22,7,4,30,2,4,6,19,24,19,28,21,22,21,6,26,4,10,4,28,24,24,28,26,20,4,4,6,22,24,21,12,11,129,6,26,6,9,8,24,26,22,24,8,23,6,5,6,23,5,6,6,6,24,23,25,8,6,28,20,8,8,22,31,21,27,12,8,6,22,30,24,28,6,8,24,6,8,10,28,34,15,11,19,9,22,24,16,12,6,30,31,18
Farm0068,12,12,19,16,18,2,18,21,18,18,14,16,4,20,18,2,19,6,18,18,18,18,21,16,4,18,14,6,4,9,4,18,3,5,6,6,7,19,6,2,18,21,16,14,18,20,2,14,14,4,6,16,16,14,9,4,6,20,20,4,19,8,20,8,6,26,4,,16,6,7,18,26,25,19,5,4,6,6,18,25,19,5,7,8,9,21,6,14,16,20,22,25,4,24,6,21,25,12,4,22,6,4,8,14,7,20,30,22,23,26,22,4,9,10,8,8,12,6,26,8,22,10,7,30,8,8,8,20,26,22,30,21,24,20,9,28,8,12,7,27,26,25,29,26,21,7,7,11,24,24,22,14,14,134,8,26,9,13,12,24,28,22,24,11,23,8,8,8,23,8,8,10,8,24,24,26,8,10,29,22,13,12,20,31,22,28,16,12,10,26,30,25,28,8,12,26,8,10,14,30,33,18,15,22,12,23,24,18,16,10,35,32,20
Farm0069,6,6,12,9,12,14,12,14,12,12,8,10,15,14,12,14,14,18,12,10,12,12,14,10,16,11,2,18,16,20,16,12,16,16,17,18,19,12,19,17,12,16,7,4,12,12,17,4,2,16,19,10,10,1,22,16,19,15,14,18,12,18,14,20,18,20,15,16,,18,18,8,18,18,12,18,16,18,18,12,20,13,17,18,20,21,16,21,6,10,15,17,18,17,17,19,12,19,23,16,16,19,17,20,4,18,10,24,12,16,19,16,17,20,21,21,20,21,18,20,19,16,22,18,26,19,20,20,14,20,16,23,11,18,12,21,22,20,23,18,22,20,20,23,22,12,20,20,22,18,16,16,26,25,146,20,19,20,26,24,18,21,12,19,22,16,22,20,20,18,20,19,22,21,14,20,20,20,22,23,12,26,24,16,26,16,22,26,24,20,18,23,19,22,22,22,20,20,22,24,22,28,31,26,34,22,16,18,30,27,22,29,26,31
Farm0070,14,14,20,18,21,4,20,22,20,20,16,18,5,22,20,2,22,6,20,20,21,20,22,18,4,18,16,8,4,10,2,20,4,6,6,8,10,20,6,4,20,25,18,17,20,21,4,18,16,2,4,18,18,16,10,4,8,23,21,7,20,10,22,10,8,26,4,6,18,,3,20,26,24,19,6,4,6,8,20,26,21,4,0,4,7,22,6,16,17,22,24,26,4,24,5,23,26,11,4,24,4,4,3,16,2,23,30,24,23,26,23,8,9,6,6,6,8,5,30,4,24,6,3,34,1,4,4,22,28,22,29,21,24,22,5,30,4,10,6,30,26,24,32,30,22,4,4,6,26,26,24,12,12,132,9,28,8,10,10,25,28,23,26,6,26,6,5,6,25,2,6,5,4,24,26,27,9,4,30,22,12,10,22,34,24,30,12,10,4,26,32,26,29,4,8,27,4,8,8,30,34,16,12,20,7,24,26,13,14,8,32,36,18
Farm0071,15,14,20,18,21,6,22,25,20,21,18,19,6,23,21,4,24,8,20,20,22,22,24,19,4,20,16,9,4,11,5,21,6,6,8,9,10,21,8,6,20,26,19,18,21,22,6,18,18,4,4,18,18,17,12,4,8,26,24,8,22,11,24,12,9,28,4,7,18,3,,20,28,26,22,8,4,9,9,21,28,22,4,3,6,8,24,8,18,19,24,26,27,6,26,6,24,28,12,6,24,3,7,5,18,2,24,34,24,25,28,26,8,10,9,8,8,10,6,30,4,26,8,5,34,4,6,4,24,29,22,33,24,26,24,4,30,6,12,8,30,28,28,32,30,24,6,6,9,26,28,26,14,12,133,11,30,8,8,11,26,30,26,29,9,27,8,7,8,26,5,6,8,6,26,27,30,12,6,32,25,14,12,26,35,26,30,14,12,8,26,32,28,31,6,9,26,6,8,9,32,38,18,14,20,8,24,26,16,15,8,36,36,20
Farm0072,8,8,14,11,14,14,14,17,13,14,10,12,18,15,14,18,16,19,14,13,14,15,16,12,18,13,4,20,18,22,18,14,17,18,20,20,20,14,20,18,14,18,9,7,13,16,19,8,6,18,20,12,12,6,24,18,20,17,16,19,15,22,17,22,20,22,18,18,8,20,20,,20,21,14,20,18,19,22,14,20,16,18,20,21,23,16,22,7,12,18,18,20,18,18,22,5,21,25,19,18,20,18,22,6,20,4,27,6,18,21,18,18,22,24,22,22,24,18,20,22,18,24,21,27,20,22,22,17,23,18,26,6,19,4,22,23,22,26,20,24,20,20,24,22,4,22,21,24,20,9,19,28,28,146,24,22,23,27,26,20,22,4,20,24,18,23,22,22,20,22,21,22,24,8,20,24,22,22,25,6,28,26,18,28,18,24,29,26,22,21,26,20,24,23,25,21,22,24,28,26,30,34,30,36,24,18,20,32,30,24,30,29,34
Farm0073,12,13,20,16,18,22,19,22,20,18,16,10,25,19,20,24,22,24,19,18,18,18,21,17,26,18,16,26,26,28,24,20,25,24,26,24,26,18,27,26,10,22,20,18,19,6,26,18,17,25,28,17,9,17,28,24,26,22,20,25,12,29,14,28,28,26,24,26,18,26,28,20,,26,12,26,26,26,28,10,26,12,26,27,28,30,22,29,18,8,22,24,26,26,24,28,24,26,32,26,9,28,26,29,18,28,24,6,26,22,26,16,26,30,30,30,29,32,26,28,29,15,31,28,32,26,28,30,22,26,23,30,24,23,24,30,28,28,32,29,28,26,25,30,20,24,28,28,31,11,29,8,34,34,150,30,27,28,34,32,25,28,24,26,32,25,30,30,28,24,30,28,31,30,27,24,28,28,30,30,23,34,31,9,33,8,29,36,32,30,11,32,12,30,30,30,26,29,30,34,30,36,40,36,43,30,23,26,38,36,32,36,35,42
Farm0074,12,12,16,12,18,22,18,22,17,18,13,17,23,19,5,24,22,26,18,16,17,18,20,16,24,16,16,26,24,26,24,16,24,25,25,26,26,18,26,24,18,2,18,18,18,20,25,16,16,23,26,16,16,17,28,25,26,21,8,25,18,29,20,28,26,13,22,25,18,24,26,21,26,,18,24,26,25,26,17,26,18,24,26,28,30,9,28,16,17,22,24,22,26,21,28,24,6,32,25,22,28,26,28,16,26,23,30,23,22,25,22,26,29,29,29,27,32,26,26,28,22,30,27,32,27,28,28,22,26,22,30,22,5,23,30,15,28,32,27,29,26,24,29,28,22,27,26,30,23,26,22,34,32,153,28,14,28,34,32,25,27,24,26,31,24,28,28,28,22,28,28,30,30,26,23,7,28,28,28,22,34,31,23,32,22,16,34,32,28,24,30,24,28,28,30,24,28,30,33,18,35,40,34,42,30,22,25,38,36,30,34,34,40
Farm0075,6,6,12,8,12,16,12,14,14,12,7,1,17,14,12,16,14,19,13,11,12,12,14,10,18,12,10,20,18,22,18,13,18,18,20,20,21,14,20,18,0,16,12,10,14,5,19,12,10,18,20,10,2,8,22,18,20,16,14,19,5,21,7,22,20,20,16,19,12,19,22,14,12,18,,20,18,19,20,1,20,1,20,20,22,22,14,22,10,1,16,16,18,19,18,21,16,18,25,20,8,21,20,21,11,21,18,16,18,16,18,4,20,23,23,23,22,25,19,21,22,4,24,21,24,20,22,22,14,20,16,24,16,18,16,23,20,22,26,20,22,20,19,24,9,17,22,22,24,10,21,8,28,28,145,24,20,22,27,26,20,22,18,18,25,18,22,22,22,16,22,22,23,23,19,18,22,21,23,23,17,27,24,8,26,8,22,30,24,22,11,25,12,22,24,24,20,24,24,26,22,29,33,30,34,24,16,18,32,30,24,27,28,34
Farm0076,14,13,19,16,19,4,18,22,18,18,14,18,2,20,18,4,21,6,18,19,18,20,22,18,6,18,14,6,5,10,4,20,6,2,8,6,8,19,8,5,20,23,18,16,19,19,6,16,15,6,8,17,16,14,10,6,5,22,22,5,20,7,22,10,4,26,4,5,18,6,8,20,26,24,20,,6,5,6,19,26,19,6,6,8,10,22,10,16,18,22,22,24,6,26,6,22,26,12,5,22,8,6,10,17,6,22,31,24,24,26,24,6,10,10,10,8,12,7,28,10,24,12,8,32,8,8,10,22,27,22,30,22,24,22,10,28,10,13,10,28,26,26,29,28,22,8,7,10,26,26,24,14,16,134,10,28,8,14,14,26,28,24,25,12,25,9,9,9,24,9,11,11,10,24,25,28,10,10,30,24,14,12,23,33,23,30,16,12,12,25,30,26,28,11,11,26,9,10,14,30,36,20,16,24,14,24,24,20,17,11,36,33,21
Farm0077,14,13,18,16,19,3,20,22,18,19,16,16,4,20,18,2,21,6,18,18,19,18,22,17,3,17,14,7,2,9,2,19,3,6,4,7,8,20,4,3,18,24,16,16,18,20,5,15,15,0,4,18,17,15,10,4,8,22,20,6,20,9,21,8,8,26,2,4,16,4,4,18,26,26,18,6,,6,7,20,26,20,2,2,5,6,20,6,16,18,22,22,25,4,25,4,22,27,11,4,24,4,4,5,16,4,22,32,23,23,26,23,6,8,6,6,6,8,5,28,6,22,7,4,30,4,6,5,22,28,20,30,22,24,22,5,28,4,8,6,28,26,26,30,27,22,5,4,8,25,26,24,12,12,130,8,27,7,10,9,25,28,22,26,8,26,6,6,4,24,4,6,6,6,25,25,28,9,6,30,22,12,10,24,34,23,28,12,9,7,25,32,26,28,6,6,26,6,6,9,30,35,16,12,20,10,24,24,16,12,8,34,35,18
Farm0078,14,13,19,16,19,3,19,22,20,20,16,17,3,20,20,4,22,6,18,18,19,19,20,17,6,18,14,6,4,9,6,19,4,0,7,7,8,18,8,6,19,24,18,17,20,20,7,14,15,6,6,18,18,15,10,4,1,22,20,0,20,6,22,10,2,26,3,6,18,6,9,19,26,25,19,5,6,,0,20,26,20,6,6,9,10,22,9,16,17,23,22,26,6,24,7,22,27,12,6,22,8,6,9,16,8,22,30,22,23,25,23,6,10,8,10,10,12,7,29,8,23,12,8,32,8,8,10,22,28,24,30,22,22,22,8,27,9,13,8,28,26,26,30,28,22,8,8,10,25,25,22,15,14,134,10,27,10,14,12,24,28,22,26,12,25,10,8,8,25,9,10,11,11,26,24,28,8,9,30,22,15,12,22,32,24,30,16,12,11,24,30,26,30,10,10,26,10,11,14,30,36,20,16,23,14,23,26,18,18,12,36,34,22
Farm0079,14,14,20,18,20,4,18,23,20,20,16,18,3,20,20,5,22,8,20,20,20,20,22,18,6,20,16,9,6,10,6,20,5,2,8,8,9,22,8,6,18,24,18,16,20,21,6,17,16,6,8,18,17,17,12,6,2,24,22,0,21,8,24,10,2,27,6,6,18,8,9,22,28,26,20,6,7,0,,19,28,20,7,8,10,11,23,10,18,18,24,24,26,8,24,9,22,27,13,7,24,8,7,10,18,8,23,33,25,24,27,24,6,12,12,12,10,14,8,28,10,24,12,8,33,9,10,10,24,28,24,31,23,24,23,10,28,10,14,10,30,28,27,32,30,23,10,9,11,27,26,25,16,16,136,10,27,10,15,15,26,30,24,26,13,26,12,10,10,26,10,11,13,10,26,26,28,10,10,32,22,16,13,24,34,25,30,17,13,12,26,33,28,30,12,12,27,10,12,14,30,36,22,18,24,14,24,26,20,18,13,36,35,22
Farm0080,6,5,12,10,12,17,12,14,12,13,7,2,17,14,12,16,14,20,12,12,13,12,14,10,18,12,10,20,18,22,19,12,18,20,18,20,20,12,20,18,0,16,12,10,12,6,19,10,10,18,20,10,2,10,23,18,20,14,13,20,4,22,7,22,22,19,18,18,12,20,21,14,10,17,1,19,20,20,19,,18,1,18,18,22,24,16,22,12,2,15,17,18,18,16,22,18,20,24,19,9,21,20,22,10,20,18,16,18,15,18,4,20,22,24,24,22,26,18,20,21,4,25,20,26,20,22,22,16,20,16,22,17,16,16,23,20,22,26,21,22,20,19,24,9,16,20,23,23,10,20,7,28,28,145,24,22,20,26,26,18,21,18,19,24,18,22,22,22,17,22,22,24,22,20,18,22,22,23,22,18,28,25,8,26,8,22,29,26,22,10,24,12,22,22,24,18,24,24,30,24,27,34,28,36,24,17,18,32,28,24,28,28,33
Farm0081,13,12,19,15,8,24,19,17,20,9,15,17,24,8,19,24,20,26,10,18,20,10,22,17,24,18,16,28,26,30,26,19,25,24,26,26,26,8,27,26,20,24,19,17,9,20,27,16,16,25,26,17,17,18,30,25,26,22,21,27,19,30,21,29,26,27,24,25,20,26,28,20,26,26,20,26,26,26,28,18,,20,26,26,29,30,22,29,18,16,22,11,26,26,24,27,23,26,32,26,22,28,26,28,19,27,24,32,26,24,26,23,26,30,30,30,28,32,26,29,29,23,32,28,6,28,30,29,22,27,23,30,24,24,24,31,28,29,34,28,6,26,4,3,29,24,29,28,30,24,27,24,35,34,153,29,26,28,35,32,26,28,25,15,32,25,30,28,28,24,28,28,32,31,26,2,28,30,30,2,26,34,33,22,8,23,29,36,32,29,25,4,26,30,30,30,27,30,31,34,30,8,40,36,44,31,24,25,38,37,31,13,8,42
Farm0082,7,7,14,10,13,18,12,13,13,13,8,2,18,14,13,18,16,20,14,14,12,14,15,11,20,12,8,22,19,22,20,12,18,19,20,21,23,12,20,20,2,16,13,12,14,6,20,12,12,20,22,10,4,10,23,18,22,16,15,20,5,23,8,23,22,20,20,19,13,21,22,16,12,18,1,19,20,20,20,1,20,,20,20,23,24,16,24,12,4,16,17,20,20,18,21,17,20,26,20,8,22,20,23,12,21,18,16,18,16,20,4,20,24,24,24,23,26,20,22,22,6,25,22,26,22,23,23,16,21,18,25,18,18,18,24,22,24,26,22,22,19,18,25,10,18,22,22,26,11,22,10,29,29,145,24,22,23,28,26,20,22,19,20,26,20,24,24,23,18,22,22,25,24,21,20,21,24,24,24,17,28,26,10,28,10,24,30,26,22,10,26,12,22,24,26,20,24,25,29,24,28,34,30,37,25,16,19,34,30,26,30,29,35
Farm0083,13,13,19,16,20,2,19,22,18,20,16,16,4,20,18,2,22,6,20,18,19,18,21,16,4,18,14,8,2,10,4,20,2,6,5,8,8,19,5,4,19,23,18,16,20,18,4,17,14,1,4,18,18,16,10,3,6,22,21,6,20,9,23,9,7,26,2,5,17,4,4,18,26,24,20,6,2,6,7,18,26,20,,4,4,6,24,6,16,18,22,24,25,4,24,4,22,26,10,4,22,4,4,6,16,3,22,31,22,23,27,24,6,9,6,6,4,8,6,28,5,24,7,4,31,4,4,5,22,26,21,31,22,24,22,6,28,6,10,7,28,26,26,30,28,21,3,4,7,24,27,22,10,12,129,8,27,7,10,10,25,28,24,26,8,25,6,6,4,24,4,7,7,6,24,24,28,10,6,29,22,12,10,24,32,23,28,12,10,6,24,32,26,29,6,6,28,6,7,10,30,34,16,12,18,9,23,26,14,13,7,32,34,17
Farm0084,14,14,20,18,20,4,20,23,20,20,15,18,4,20,20,3,21,8,20,18,20,19,22,18,3,20,14,8,3,10,4,20,4,6,6,8,8,20,6,4,20,24,16,17,20,20,4,16,16,2,4,20,18,16,12,4,8,23,22,6,21,10,22,11,9,26,3,7,18,0,3,20,27,26,20,6,2,6,8,18,26,20,4,,4,7,22,7,18,18,23,22,26,5,25,4,23,28,11,5,23,4,4,4,17,2,22,32,24,24,27,24,7,8,7,8,6,8,6,28,4,24,6,4,33,4,7,4,22,28,22,30,23,25,23,5,29,4,10,8,29,27,28,31,28,22,4,6,8,26,27,24,12,13,132,9,30,8,10,10,28,29,24,27,6,26,7,6,6,24,4,4,6,4,26,26,28,10,5,32,23,13,11,24,34,24,29,13,12,6,27,33,28,31,6,8,28,4,8,9,32,36,17,12,20,8,24,26,14,14,8,34,36,18
